msoa21_code,osm_id,travel_time_mins
W02000006,1672129962,57.68333333333333
W02000006,8215123699,64.2
W02000006,2704893155,64.28333333333333
W02000006,2704893305,57.2
W02000006,1247101221,77.41666666666667
W02000006,1096844789,4.316666666666666
W02000006,11458717153,52.13333333333333
W02000006,5268166926,77.41666666666667
W02000006,1036589439,100.96666666666667
W02000006,1247101226,75.66666666666667
W02000006,1096844818,5.083333333333333
W02000006,9959167624,36.93333333333333
W02000006,2752918164,40
W02000006,11502855126,5.083333333333333
W02000006,1247029135,57.68333333333333
W02000006,2704893314,54.11666666666667
W02000006,2704893222,65.78333333333333
W02000006,1036588875,99.93333333333334
W02000006,2704893200,66.08333333333333
W02000006,1096844780,5.083333333333333
W02000006,2704893307,57.46666666666667
W02000006,5268166925,77.41666666666667
W02000006,2704893159,62.56666666666667
W02000006,2704893313,53.083333333333336
W02000006,1036589892,100.96666666666667
W02000006,11458713643,52.13333333333333
W02000006,8738779052,75.66666666666667
W02000006,1247029149,57.333333333333336
W02000006,1036589004,99.93333333333334
W02000006,2704893154,63.833333333333336
W02000006,1247029083,57.733333333333334
W02000006,1096844791,5.083333333333333
W02000006,2704893202,66.08333333333333
W02000006,11458713639,52.13333333333333
W02000006,2704893309,58.5
W02000006,11502855125,5.083333333333333
W02000006,1247029090,57.733333333333334
W02000006,1247029075,57.733333333333334
W02000006,2704893224,65.93333333333334
W02000006,8215123714,62.03333333333333
W02000006,2752918176,40
W02000006,8215123715,62.03333333333333
W02000006,1247029163,57.733333333333334
W02000006,1247101277,77.41666666666667
W02000006,1036589351,99.93333333333334
W02000006,2704893170,64.98333333333333
W02000006,5268166924,77.41666666666667
W02000006,1247029154,57.333333333333336
W02000006,1247029095,57.733333333333334
W02000006,1247101210,77.41666666666667
W02000006,2704893308,54.15
W02000006,11458713642,52.13333333333333
W02000006,1036589425,99.93333333333334
W02000006,1247029097,57.733333333333334
W02000006,1036589371,99.93333333333334
W02000006,1036589344,99.93333333333334
W02000006,1247029201,57.733333333333334
W02000006,1247101276,75.66666666666667
W02000006,3712762095,54.11666666666667
W02000006,1036589613,99.73333333333333
W02000006,1247029104,57.733333333333334
W02000006,1247029171,57.68333333333333
W02000006,1036588814,100.96666666666667
W02000006,1247101248,77.41666666666667
W02000006,2752918178,40
W02000006,9959167622,36.93333333333333
W02000006,2704893312,54.11666666666667
W02000006,1096844752,5.466666666666667
W02000006,2704893153,64.76666666666667
