msoa21_code,osm_id,travel_time_mins
W02000006,3503799720,32.85
W02000006,9426584087,66.46666666666667
W02000006,12299358814,10.816666666666666
W02000006,3304639472,66.46666666666667
W02000006,12258111341,40.38333333333333
W02000006,5099145099,94.06666666666666
W02000006,3503799713,32.85
W02000006,4057286228,94.06666666666666
W02000006,12258111339,40.38333333333333
W02000006,5099145104,95.15
W02000006,3503799718,32.85
W02000006,1030098895,94.06666666666666
W02000006,5099153818,95.15
W02000006,12258111340,40.38333333333333
W02000006,12258111342,40.38333333333333
W02000006,12058970513,83.11666666666666
W02000006,12058970520,83.11666666666666
W02000006,9426584090,68.03333333333333
W02000006,12299358815,10.816666666666666
W02000006,3503799722,32.85
W02000006,5099153814,94.06666666666666
W02000006,5099145096,95.15
W02000006,5099145103,95.15
W02000006,5099145107,94.06666666666666
W02000006,9426584086,66.46666666666667
W02000006,12058970514,83.11666666666666
W02000006,8280204315,32.85
W02000006,12058970519,83.11666666666666
W02000006,1662248097,83.11666666666666
W02000006,3304639488,66.46666666666667
W02000006,12058970518,83.11666666666666
W02000006,12299358816,10.35
W02000006,9426584089,68.21666666666667
W02000006,12299358820,10.816666666666666
W02000006,12299358821,10.816666666666666
W02000006,5099145095,95.15
W02000006,9426584088,66.46666666666667
W02000006,3304639487,66.46666666666667
W02000006,12058970512,83.11666666666666
W02000006,9426584094,66.46666666666667
W02000006,12058970523,83.11666666666666
W02000006,9426584091,66.46666666666667
W02000006,3503799719,32.85
W02000006,1098273255,21.7
W02000006,12058970522,83.11666666666666
W02000006,5099145094,95.15
W02000006,1677388612,40.1
W02000006,5099145101,95.15
W02000006,5099145100,94.06666666666666
W02000006,1677388614,40.85
W02000006,9426584085,66.46666666666667
W02000006,5099145098,94.06666666666666
W02000006,12299358822,10.816666666666666
W02000006,3304639486,66.46666666666667
W02000006,12058970521,83.11666666666666
W02000006,1677388620,41.43333333333333
W02000006,12058970517,83.11666666666666
W02000006,5099145102,95.15
W02000006,12058970515,83.11666666666666
W02000006,1677388617,41.43333333333333
W02000006,9426584093,66.46666666666667
W02000006,12058970516,83.11666666666666
W02000006,12299358819,10.816666666666666
W02000006,8280205029,32.85
W02000006,5099145105,95.15
W02000006,3503799710,32.85
W02000006,3304639480,66.46666666666667
W02000006,12258111343,40.38333333333333
W02000006,3304639495,66.46666666666667
W02000006,4057286229,94.06666666666666
W02000006,8280204299,32.85
W02000006,9943054224,40.38333333333333
W02000006,3503799702,32.85
W02000006,12299358817,10.35
W02000006,3503799711,32.85
W02000006,5099145106,95.15
W02000006,5099145097,95.15
W02000006,12299358818,10.816666666666666
W02000006,4057286227,94.06666666666666
W02000006,12299358813,10.816666666666666
W02000006,9426584092,66.46666666666667
W02000003,3503799720,31.916666666666668
W02000003,9426584087,88.85
W02000003,12299358814,48.88333333333333
W02000003,3304639472,88.85
W02000003,12258111341,48.88333333333333
W02000003,5099145099,51.45
W02000003,3503799713,31.916666666666668
W02000003,4057286228,51.45
W02000003,12258111339,48.88333333333333
W02000003,5099145104,52.53333333333333
W02000003,3503799718,31.916666666666668
W02000003,1030098895,51.45
W02000003,5099153818,52.53333333333333
W02000003,12258111340,48.88333333333333
W02000003,12258111342,48.88333333333333
W02000003,12058970513,40.5
W02000003,12058970520,40.5
W02000003,9426584090,90.41666666666667
W02000003,12299358815,48.88333333333333
W02000003,3503799722,31.916666666666668
W02000003,5099153814,51.45
W02000003,5099145096,52.53333333333333
W02000003,5099145103,52.53333333333333
W02000003,5099145107,51.45
W02000003,9426584086,88.85
W02000003,12058970514,40.5
W02000003,8280204315,31.916666666666668
W02000003,12058970519,40.5
W02000003,1662248097,40.5
W02000003,3304639488,88.85
W02000003,12058970518,40.5
W02000003,12299358816,48.416666666666664
W02000003,9426584089,90.6
W02000003,12299358820,48.88333333333333
W02000003,12299358821,48.88333333333333
W02000003,5099145095,52.53333333333333
W02000003,9426584088,88.85
W02000003,3304639487,88.85
W02000003,12058970512,40.5
W02000003,9426584094,88.85
W02000003,12058970523,40.5
W02000003,9426584091,88.85
W02000003,3503799719,31.916666666666668
W02000003,1098273255,71.03333333333333
W02000003,12058970522,40.5
W02000003,5099145094,52.53333333333333
W02000003,1677388612,48.6
W02000003,5099145101,52.53333333333333
W02000003,5099145100,51.45
W02000003,1677388614,49.35
W02000003,9426584085,88.85
W02000003,5099145098,51.45
W02000003,12299358822,48.88333333333333
W02000003,3304639486,88.85
W02000003,12058970521,40.5
W02000003,1677388620,49.93333333333333
W02000003,12058970517,40.5
W02000003,5099145102,52.53333333333333
W02000003,12058970515,40.5
W02000003,1677388617,49.93333333333333
W02000003,9426584093,88.85
W02000003,12058970516,40.5
W02000003,12299358819,48.88333333333333
W02000003,8280205029,31.916666666666668
W02000003,5099145105,52.53333333333333
W02000003,3503799710,31.916666666666668
W02000003,3304639480,88.85
W02000003,12258111343,48.88333333333333
W02000003,3304639495,88.85
W02000003,4057286229,51.45
W02000003,8280204299,31.916666666666668
W02000003,9943054224,48.88333333333333
W02000003,3503799702,31.916666666666668
W02000003,12299358817,48.416666666666664
W02000003,3503799711,31.916666666666668
W02000003,5099145106,52.53333333333333
W02000003,5099145097,52.53333333333333
W02000003,12299358818,48.88333333333333
W02000003,4057286227,51.45
W02000003,12299358813,48.88333333333333
W02000003,9426584092,88.85
W02000008,3503799720,22.166666666666668
W02000008,9426584087,29.266666666666666
W02000008,12299358814,43.96666666666667
W02000008,3304639472,29.266666666666666
W02000008,12258111341,19.25
W02000008,5099145099,80.23333333333333
W02000008,3503799713,22.166666666666668
W02000008,4057286228,80.23333333333333
W02000008,12258111339,19.25
W02000008,5099145104,79.53333333333333
W02000008,3503799718,22.166666666666668
W02000008,1030098895,80.23333333333333
W02000008,5099153818,79.53333333333333
W02000008,12258111340,19.25
W02000008,12258111342,19.25
W02000008,12058970513,142.05
W02000008,12058970520,142.05
W02000008,9426584090,30.833333333333332
W02000008,12299358815,43.96666666666667
W02000008,3503799722,22.166666666666668
W02000008,5099153814,80.23333333333333
W02000008,5099145096,79.53333333333333
W02000008,5099145103,79.53333333333333
W02000008,5099145107,80.23333333333333
W02000008,9426584086,29.266666666666666
W02000008,12058970514,142.05
W02000008,8280204315,22.166666666666668
W02000008,12058970519,142.05
W02000008,1662248097,142.05
W02000008,3304639488,29.266666666666666
W02000008,12058970518,142.05
W02000008,12299358816,43.5
W02000008,9426584089,31.016666666666666
W02000008,12299358820,43.96666666666667
W02000008,12299358821,43.96666666666667
W02000008,5099145095,79.53333333333333
W02000008,9426584088,29.266666666666666
W02000008,3304639487,29.266666666666666
W02000008,12058970512,142.05
W02000008,9426584094,29.266666666666666
W02000008,12058970523,142.05
W02000008,9426584091,29.266666666666666
W02000008,3503799719,22.166666666666668
W02000008,1098273255,64.83333333333333
W02000008,12058970522,142.05
W02000008,5099145094,79.53333333333333
W02000008,1677388612,18.966666666666665
W02000008,5099145101,79.53333333333333
W02000008,5099145100,80.23333333333333
W02000008,1677388614,19.716666666666665
W02000008,9426584085,29.266666666666666
W02000008,5099145098,80.23333333333333
W02000008,12299358822,43.96666666666667
W02000008,3304639486,29.266666666666666
W02000008,12058970521,142.05
W02000008,1677388620,20.3
W02000008,12058970517,142.05
W02000008,5099145102,79.53333333333333
W02000008,12058970515,142.05
W02000008,1677388617,20.3
W02000008,9426584093,29.266666666666666
W02000008,12058970516,142.05
W02000008,12299358819,43.96666666666667
W02000008,8280205029,22.166666666666668
W02000008,5099145105,79.53333333333333
W02000008,3503799710,22.166666666666668
W02000008,3304639480,29.266666666666666
W02000008,12258111343,19.25
W02000008,3304639495,29.266666666666666
W02000008,4057286229,80.23333333333333
W02000008,8280204299,22.166666666666668
W02000008,9943054224,19.25
W02000008,3503799702,22.166666666666668
W02000008,12299358817,43.5
W02000008,3503799711,22.166666666666668
W02000008,5099145106,79.53333333333333
W02000008,5099145097,79.53333333333333
W02000008,12299358818,43.96666666666667
W02000008,4057286227,80.23333333333333
W02000008,12299358813,43.96666666666667
W02000008,9426584092,29.266666666666666
W02000004,3503799720,41.65
W02000004,9426584087,116.4
W02000004,12299358814,49.333333333333336
W02000004,3304639472,116.4
W02000004,12258111341,55.8
W02000004,5099145099,47.55
W02000004,3503799713,41.65
W02000004,4057286228,47.55
W02000004,12258111339,55.8
W02000004,5099145104,48.63333333333333
W02000004,3503799718,41.65
W02000004,1030098895,47.55
W02000004,5099153818,48.63333333333333
W02000004,12258111340,55.8
W02000004,12258111342,55.8
W02000004,12058970513,36.6
W02000004,12058970520,36.6
W02000004,9426584090,117.96666666666667
W02000004,12299358815,49.333333333333336
W02000004,3503799722,41.65
W02000004,5099153814,47.55
W02000004,5099145096,48.63333333333333
W02000004,5099145103,48.63333333333333
W02000004,5099145107,47.55
W02000004,9426584086,116.4
W02000004,12058970514,36.6
W02000004,8280204315,41.65
W02000004,12058970519,36.6
W02000004,1662248097,36.6
W02000004,3304639488,116.4
W02000004,12058970518,36.6
W02000004,12299358816,48.86666666666667
W02000004,9426584089,118.15
W02000004,12299358820,49.333333333333336
W02000004,12299358821,49.333333333333336
W02000004,5099145095,48.63333333333333
W02000004,9426584088,116.4
W02000004,3304639487,116.4
W02000004,12058970512,36.6
W02000004,9426584094,116.4
W02000004,12058970523,36.6
W02000004,9426584091,116.4
W02000004,3503799719,41.65
W02000004,1098273255,73.58333333333333
W02000004,12058970522,36.6
W02000004,5099145094,48.63333333333333
W02000004,1677388612,55.516666666666666
W02000004,5099145101,48.63333333333333
W02000004,5099145100,47.55
W02000004,1677388614,56.266666666666666
W02000004,9426584085,116.4
W02000004,5099145098,47.55
W02000004,12299358822,49.333333333333336
W02000004,3304639486,116.4
W02000004,12058970521,36.6
W02000004,1677388620,56.85
W02000004,12058970517,36.6
W02000004,5099145102,48.63333333333333
W02000004,12058970515,36.6
W02000004,1677388617,56.85
W02000004,9426584093,116.4
W02000004,12058970516,36.6
W02000004,12299358819,49.333333333333336
W02000004,8280205029,41.65
W02000004,5099145105,48.63333333333333
W02000004,3503799710,41.65
W02000004,3304639480,116.4
W02000004,12258111343,55.8
W02000004,3304639495,116.4
W02000004,4057286229,47.55
W02000004,8280204299,41.65
W02000004,9943054224,55.8
W02000004,3503799702,41.65
W02000004,12299358817,48.86666666666667
W02000004,3503799711,41.65
W02000004,5099145106,48.63333333333333
W02000004,5099145097,48.63333333333333
W02000004,12299358818,49.333333333333336
W02000004,4057286227,47.55
W02000004,12299358813,49.333333333333336
W02000004,9426584092,116.4
W02000021,9395567711,36.166666666666664
W02000021,9395567706,36.166666666666664
W02000021,2261812595,30
W02000021,3608570684,36.96666666666667
W02000021,838950466,36.166666666666664
W02000021,9395567704,36.166666666666664
W02000021,2261812585,30
W02000021,9395567707,36.166666666666664
W02000021,3608570685,36.96666666666667
W02000021,3756475275,53.833333333333336
W02000021,9395567715,36.166666666666664
W02000021,9395567716,36.166666666666664
W02000021,9395567714,36.166666666666664
W02000021,5040056749,46.2
W02000021,4646620391,126.9
W02000021,6293586076,30
W02000021,2104980556,54.5
W02000021,2261812648,30
W02000021,666972952,137.16666666666666
W02000021,2104980573,54.5
W02000021,9395567713,36.166666666666664
W02000021,5040142817,49.05
W02000021,9395567709,36.166666666666664
W02000021,9395579917,36.166666666666664
W02000021,2261812594,30
W02000021,3608674580,38.13333333333333
W02000021,5040142816,49.05
W02000021,2261812601,30
W02000021,460674823,16.983333333333334
W02000021,3756475274,54.5
W02000021,9655664057,46.2
W02000021,5041567381,46.2
W02000021,2104980560,54.5
W02000021,2261812654,31.433333333333334
W02000021,838950399,35.53333333333333
W02000021,3756475276,53.833333333333336
W02000021,3608674581,36.96666666666667
W02000021,9395567710,36.166666666666664
W02000021,838950580,36.166666666666664
W02000021,9655664058,46.2
W02000021,3756475277,54.5
W02000021,9395567705,36.166666666666664
W02000021,2261812642,31.433333333333334
W02000021,2104980572,54.5
W02000021,5040142815,49.05
W02000021,838950338,36.166666666666664
W02000021,9395567708,36.166666666666664
W02000021,9395567712,36.166666666666664
W02000021,2261812608,30
W02000021,9655664056,46.2
W02000021,5040142818,49.05
W02000021,9655664055,46.2
W02000021,3756475278,54.5
W02000019,3083236620,109.11666666666666
W02000019,9395567711,19.016666666666666
W02000019,9395567706,19.016666666666666
W02000019,838950466,19.016666666666666
W02000019,3151396653,108.98333333333333
W02000019,9395567704,19.016666666666666
W02000019,3151396649,108.98333333333333
W02000019,9395567707,19.016666666666666
W02000019,3756475275,14.75
W02000019,9395567715,19.016666666666666
W02000019,9395567716,19.016666666666666
W02000019,9395567714,19.016666666666666
W02000019,5040056749,5.933333333333334
W02000019,4646620391,53.333333333333336
W02000019,2104980556,15.183333333333334
W02000019,666972952,74.61666666666666
W02000019,2104980573,15.183333333333334
W02000019,9395567713,19.016666666666666
W02000019,5040142817,7.883333333333334
W02000019,9395567709,19.016666666666666
W02000019,9395579917,19.016666666666666
W02000019,5040142816,7.883333333333334
W02000019,460674823,46.95
W02000019,3756475274,15.183333333333334
W02000019,9655664057,5.933333333333334
W02000019,5041567381,5.933333333333334
W02000019,2104980560,15.183333333333334
W02000019,3151396633,108.98333333333333
W02000019,3151396637,108.98333333333333
W02000019,838950399,18.95
W02000019,3756475276,14.75
W02000019,9395567710,19.016666666666666
W02000019,838950580,19.016666666666666
W02000019,3151396650,108.98333333333333
W02000019,9655664058,5.933333333333334
W02000019,3083236543,109.11666666666666
W02000019,3083236540,109.11666666666666
W02000019,3151396634,109.36666666666666
W02000019,3756475277,15.183333333333334
W02000019,9395567705,19.016666666666666
W02000019,3151396622,108.98333333333333
W02000019,2104980572,15.183333333333334
W02000019,5040142815,7.883333333333334
W02000019,838950338,19.016666666666666
W02000019,9395567708,19.016666666666666
W02000019,9395567712,19.016666666666666
W02000019,9655664056,5.933333333333334
W02000019,3151396631,108.98333333333333
W02000019,3083236752,109.11666666666666
W02000019,5040142818,7.883333333333334
W02000019,9655664055,5.933333333333334
W02000019,3756475278,15.183333333333334
W02000014,3594620633,166.5
W02000014,3594620632,166.5
W02000014,4328507320,96.35
W02000014,4328507314,96.35
W02000014,1108475822,15.183333333333334
W02000014,1468389833,96.56666666666666
W02000014,4985924218,132.13333333333333
W02000014,6236338859,116.93333333333334
W02000014,5256592027,104.25
W02000014,3594620623,166.5
W02000014,3083236620,13.466666666666667
W02000014,6236338863,116.93333333333334
W02000014,3781263495,105.11666666666666
W02000014,7273082463,99.51666666666667
W02000014,6130937292,107.35
W02000014,2863201435,130.63333333333333
W02000014,4320481974,113.08333333333333
W02000014,8651928274,119.45
W02000014,8651928268,121.48333333333333
W02000014,6236338861,116.16666666666667
W02000014,7273082452,102.33333333333333
W02000014,3781263488,105.11666666666666
W02000014,3608570684,134.75
W02000014,8651928270,119.45
W02000014,1468389812,96.91666666666667
W02000014,3781263506,104.53333333333333
W02000014,3151396653,14.7
W02000014,7273082464,99.51666666666667
W02000014,8262060323,97.33333333333333
W02000014,8846897215,124.61666666666666
W02000014,1108475900,15.183333333333334
W02000014,4657219429,100.66666666666667
W02000014,7366798649,94.36666666666666
W02000014,7273082461,99.51666666666667
W02000014,7273082460,99.51666666666667
W02000014,4657219431,100.66666666666667
W02000014,2983936026,113.08333333333333
W02000014,2983936024,113.08333333333333
W02000014,1108475994,15.183333333333334
W02000014,8846897188,124.61666666666666
W02000014,4231777235,15.183333333333334
W02000014,2983936025,113.08333333333333
W02000014,1712514646,112.46666666666667
W02000014,5256592031,105.63333333333334
W02000014,4328507363,98.6
W02000014,3151396649,14.7
W02000014,6130937289,107.35
W02000014,7366798652,94.36666666666666
